t,mRNA_R,A,R,PrmA,PrmR,C,PrmA_bound,PrmR_bound,mRNA_A_
3.65000000000000000E+01,3.17856802200612966E-03,1.86516597276444084E-04,4.48982727049848485E-01,3.95538264118621850E-04,3.95980258387562906E-04,1.14639752257408356E-01,8.86169185601170631E-07,4.44174916660694571E-07,2.02148588188144065E-03
3.70000000000000000E+01,2.48742023326294082E-03,2.00557807570197479E-04,4.18060941389701402E-01,3.95472043738511847E-04,3.95946944724781254E-04,1.09244214467602574E-01,9.52389565711257302E-07,4.77488579442252581E-07,2.02434977282918297E-03
3.75000000000000000E+01,1.94996276505898293E-03,2.17218835538000556E-04,3.86567495872648659E-01,3.95393378821228523E-04,3.95907390394948278E-04,1.06025897223785623E-01,1.03105448299450691E-06,5.17042909275251185E-07,2.02777850976526173E-03
3.80000000000000000E+01,1.53233636416929869E-03,2.36488347558355688E-04,3.55682243609875881E-01,3.95302371830714646E-04,3.95861638525145149E-04,1.04138067438840895E-01,1.12206147350836517E-06,5.62794779078422701E-07,2.03176207857701458E-03
3.85000000000000000E+01,1.20817367246306841E-03,2.58462706291710223E-04,3.26085921164778025E-01,3.95198595945189823E-04,3.95809465599521345E-04,1.03067132222285571E-01,1.22583735903328487E-06,6.14967704702169868E-07,2.03631506931323215E-03
3.90000000000000000E+01,9.56947108194066537E-04,2.83313702232130724E-04,2.98147220510698252E-01,3.95081271482837385E-04,3.95750473187300483E-04,1.02501967612440681E-01,1.34316182138556093E-06,6.73960116922980653E-07,2.04147032359077536E-03
3.95000000000000000E+01,7.62680260247445728E-04,3.11283332541345136E-04,2.72040023325788638E-01,3.94949285942808347E-04,3.95684092885942090E-04,1.02254508930468113E-01,1.47514736141465061E-06,7.40340418281399597E-07,2.04727429421866633E-03
4.00000000000000000E+01,6.12944839595747342E-04,3.42670068305189843E-04,2.47817127297591339E-01,3.94801262030286266E-04,3.95609623160507679E-04,1.02211600098269989E-01,1.62317127393679584E-06,8.14810143715723006E-07,2.05378678298575625E-03
4.05000000000000000E+01,4.98079265201092219E-04,3.77840167279260702E-04,2.25456948631936521E-01,3.94635529007328779E-04,3.95526214161367453E-04,1.02305740410350413E-01,1.78890429689415218E-06,8.98219142856095475E-07,2.06108053955623201E-03
4.10000000000000000E+01,4.10578873212893037E-04,4.17218885248591353E-04,2.04893238226717900E-01,3.94450120362413686E-04,3.95432861960712094E-04,1.02497341485495913E-01,1.97431294180933503E-06,9.91571343511446625E-07,2.06924103039361979E-03
4.15000000000000000E+01,3.44623621703534367E-04,4.61309426716154135E-04,1.86034028738292806E-01,3.94242734006396893E-04,3.95328392369982066E-04,1.02763993900459774E-01,2.18169929782613675E-06,1.09604093424153993E-06,2.07836888982680960E-03
4.20000000000000000E+01,2.95709024095569301E-04,5.10700327135714242E-04,1.68773791005456530E-01,3.94010683156338767E-04,3.95211431587786635E-04,1.03093970096710993E-01,2.41375014788423313E-06,1.21300171643697302E-06,2.08858118719398031E-03
