t,FeDuo,FeDuo_0,FeRBC,FeRBC_0,FeSpleen,FeSpleen_0,FeLiver,FeLiver_0,Fe2Tf,NTBI,Tf,Fe1Tf,Hepcidin,Fe2Tf_0,Fe1Tf_0,NTBI_0,Fe2Tf_,FeRest,FeOutside,FeRest_0,FeBM,FeBM_0
1.51300000000000000E+03,2.46013482269874388E-10,1.17590570245035362E-02,4.15206403724479137E-08,3.79799881812572654E-02,4.28311596923697100E-09,3.94240088778807264E-03,1.98860635465863271E-09,2.00011004594014821E-03,2.54737825956317493E-11,3.13657757366266823E-14,1.58218054976846082E-05,8.80752932074237633E-12,2.30017456622936928E-08,1.35248148214941056E-05,9.35333099507295725E-06,3.33112563688500609E-08,1.19948705127489619E-17,2.87994968612210618E-10,2.56984611959492730E-07,2.86841655266176958E-04,3.03783610826866652E-03,2.86880184899134220E-09
1.53000000000000000E+03,2.32972215053446430E-10,1.17590570163290022E-02,3.93196156426151348E-08,3.79799882099726704E-02,4.05606632697836467E-09,3.94240083525721798E-03,1.88318957147300719E-09,2.00011003344692994E-03,2.41234084769683219E-11,2.97030630435414867E-14,1.58218063194121616E-05,8.34063942953871131E-12,2.30017456622936928E-08,1.35248152002864468E-05,9.35333161181828834E-06,3.33112551051893009E-08,1.07568724071481260E-17,2.72728247060555748E-10,2.57096961836131772E-07,2.86841655310455341E-04,3.03783611027303195E-03,2.71672558600933288E-09
1.54700000000000000E+03,2.20622270319650417E-10,1.17590570085887407E-02,3.72352680587155447E-08,3.79799882372620912E-02,3.84105267726366506E-09,3.94240078552342971E-03,1.78336097291791716E-09,2.00011002162120552E-03,2.28446181286390759E-11,2.81284914921805861E-14,1.58218070975432341E-05,7.89849949032579440E-12,2.30017456622936928E-08,1.35248155590419204E-05,9.35333219586310104E-06,3.33112539086454266E-08,9.64664884805682304E-18,2.58270820158720772E-10,2.57203356003574848E-07,2.86841655353060854E-04,3.03783611217779215E-03,2.57271094275484929E-09
1.56400000000000000E+03,2.08927000803234764E-10,1.17590570012596849E-02,3.52614125216221982E-08,3.79799882631959990E-02,3.63743698701880327E-09,3.94240073843777575E-03,1.68882432708813567E-09,2.00011001042731378E-03,2.16336168752169591E-11,2.66373886754188265E-14,1.58218078343912489E-05,7.47979750469282247E-12,2.30017456622936928E-08,1.35248158988203238E-05,9.35333274894137683E-06,3.33112527756528725E-08,8.65101214801049106E-18,2.44579786892898939E-10,2.57304110176205870E-07,2.86841655394046244E-04,3.03783611398787548E-03,2.43633056974968590E-09
1.58100000000000000E+03,1.97851701924316212E-10,1.17590569943199913E-02,3.33921918066136304E-08,3.79799882878414305E-02,3.44461504560323407E-09,3.94240069385925693E-03,1.59929910545728084E-09,2.00010999983149789E-03,2.04868111977088966E-11,2.52253298734374236E-14,1.58218085321456574E-05,7.08329102315382778E-12,2.30017456622936928E-08,1.35248162206256334E-05,9.35333327269468420E-06,3.33112517028377279E-08,7.75813572834419604E-18,2.31614520448175206E-10,2.57399523332270358E-07,2.86841655433463661E-04,3.03783611570796657E-03,2.30717977147070179E-09
1.59800000000000000E+03,1.87363508805891616E-10,1.17590569877489646E-02,3.16220591826307714E-08,3.79799883112621195E-02,3.26201467186378093E-09,3.94240065165438105E-03,1.51451965043433739E-09,2.00010998980180467E-03,1.94007980702528347E-11,2.38881249235940026E-14,1.58218091928811414E-05,6.70780345839618021E-12,2.30017456622936928E-08,1.35248165254084454E-05,9.35333376867809262E-06,3.33112506870027080E-08,6.95741363686700037E-18,2.19336547652385554E-10,2.57489878601064789E-07,2.86841655471364171E-04,3.03783611734252060E-03,2.18487530545528939E-09
1.61500000000000000E+03,1.77431298750491187E-10,1.17590569815270319E-02,2.99457619528935059E-08,3.79799883335186356E-02,3.08909401623387878E-09,3.94240061169675877E-03,1.43423438704846513E-09,2.00010998030799051E-03,1.83723548620742788E-11,2.26218057863468868E-14,1.58218098185612115E-05,6.35222059395716463E-12,2.30017456622936928E-08,1.35248168140692880E-05,9.35333423836379280E-06,3.33112497251223634E-08,6.23933457187557813E-18,2.07709434810703248E-10,2.57575444103094760E-07,2.86841655507797755E-04,3.03783611889577119E-03,2.06905424506670901E-09
1.63200000000000000E+03,1.68025598886581117E-10,1.17590569756356404E-02,2.83583258680349597E-08,3.79799883546686062E-02,2.92533995283974014E-09,3.94240057386673753E-03,1.35820507642283284E-09,2.00010997132142425E-03,1.73984297747355107E-11,2.14226147703199710E-14,1.58218104110458334E-05,6.01548727797240880E-12,2.30017456622936928E-08,1.35248170874609337E-05,9.35333468314616190E-06,3.33112488143308044E-08,5.59536889594931672E-18,1.96698679592176297E-10,2.57656473745697323E-07,2.86841655542813473E-04,3.03783612037174548E-03,1.95937290254463310E-09
1.64900000000000000E+03,1.59118498710666008E-10,1.17590569700572276E-02,2.68550403655012986E-08,3.79799883747667863E-02,2.77026655684210625E-09,3.94240053805102950E-03,1.28620610882220243E-09,2.00010996281500472E-03,1.64761327863041424E-11,2.02869933815750583E-14,1.58218109720967340E-05,5.69660429218418106E-12,2.30017456622936928E-08,1.35248173463909588E-05,9.35333510434580899E-06,3.33112479519135352E-08,5.01786732032022001E-18,1.86271608647400497E-10,2.57733207976486216E-07,2.86841655576459194E-04,3.03783612177427158E-03,1.85550580914518110E-09
1.66600000000000000E+03,1.50683567265567771E-10,1.17590569647751750E-02,2.54314445914162482E-08,3.79799883938652522E-02,2.62341366249514638E-09,3.94240050414238364E-03,1.21802383417643863E-09,2.00010995476307884E-03,1.56027270755693471E-11,1.92115717639992364E-14,1.58218115033811316E-05,5.39462538691984606E-12,2.30017456622936928E-08,1.35248175916244323E-05,9.35333550321293267E-06,3.33112471353021402E-08,4.49997004441345901E-18,1.76397280653518864E-10,2.57805874496856469E-07,2.86841655608781700E-04,3.03783612310698677E-03,1.75714474934410725E-09
