t,Trim,Clb,Sic,PTrim,PClb,SBF,IE,Cdc20a,Cdc20,Cdh1,Swe1,Swe1M,PSwe1,PSwe1M,Mih1a,Mcm,BE,Cln,mass,BUD,flag
2.30000000000000027E+00,2.90490986523313406E-02,2.41153678538471070E-04,2.43337040649372394E-01,1.14561141450451358E-04,2.62628574782455399E-07,4.04009708937035084E-02,4.38524830610271976E-01,1.61681905412555316E+00,4.71652181098419387E-01,9.99936170767368848E-01,1.44342592602707178E-03,3.01977393454652097E-02,1.28736027876588704E-06,1.77001333193128512E-05,2.77379523758102930E-01,6.56980701207007245E-01,1.09343316204645515E-02,5.07655216567580725E-02,8.11527650834143466E-01,0.00000000000000000E+00,0.00000000000000000E+00
2.40000000000000036E+00,2.70270891283609267E-02,2.25119557848195938E-04,2.53664168092877784E-01,1.10433086483758338E-04,2.42545836491804052E-07,4.05173518782422915E-02,4.34616691649709064E-01,1.61921637714761868E+00,4.48971730387828782E-01,9.99936707638929612E-01,1.48277735752069643E-03,3.01478335180622378E-02,1.21546704614513565E-06,1.62106077450024546E-05,2.55589231457152677E-01,6.43997567381012992E-01,1.13301457409553039E-02,5.06629751691455299E-02,8.11933516117425813E-01,0.00000000000000000E+00,0.00000000000000000E+00
2.50000000000000000E+00,2.52160457023269252E-02,2.11005796444899862E-04,2.63733607234193201E-01,1.06368159757825061E-04,2.24462105674167418E-07,4.06311374715143184E-02,4.30709195870566441E-01,1.62119707519834710E+00,4.26909725142188445E-01,9.99937185952022967E-01,1.52206712960616651E-03,3.00977723912172791E-02,1.15515826006604948E-06,1.49695188896338024E-05,2.34309290536270920E-01,6.31048541055044598E-01,1.17210119165805197E-02,5.05625933602399727E-02,8.12339584384091484E-01,0.00000000000000000E+00,0.00000000000000000E+00
2.60000000000000009E+00,2.35928103441980230E-02,1.98491118761218383E-04,2.73568797018758247E-01,1.02395347740368874E-04,2.08131599103172268E-07,4.07431235011362844E-02,4.26802374433290055E-01,1.62276509359836951E+00,4.05460211891896627E-01,9.99937613019857396E-01,1.56129769354871142E-03,3.00476180518733718E-02,1.10356585828718815E-06,1.39136974928338710E-05,2.13592646619796295E-01,6.18134893338487701E-01,1.21070006980137611E-02,5.04643330219199243E-02,8.12745855735657385E-01,0.00000000000000000E+00,0.00000000000000000E+00
2.70000000000000018E+00,2.21367412082685150E-02,1.87321984132112179E-04,2.83190671248852666E-01,9.85376063706374804E-05,1.93350703005850645E-07,4.08538751363150474E-02,4.22896256039822893E-01,1.62392431480258637E+00,3.84617320016418629E-01,9.99937994649949924E-01,1.60047076112822197E-03,2.99974120521036385E-02,1.05873004951283268E-06,1.30007364338655807E-05,1.93498360860332175E-01,6.05257931539332161E-01,1.24881815402783682E-02,5.03681581224325325E-02,8.13152330273691493E-01,0.00000000000000000E+00,0.00000000000000000E+00
2.80000000000000027E+00,2.08294505621712568E-02,1.77289244249447317E-04,2.92617917324706545E-01,9.48126953008716602E-05,1.79946754310896718E-07,4.09637992252535055E-02,4.18990867523891586E-01,1.62467855536350947E+00,3.64375264579781089E-01,9.99938335652764576E-01,1.63958759264295931E-03,2.99471833828473151E-02,1.01926197003350633E-06,1.22009435465596437E-05,1.74091966662274028E-01,5.92419005964663681E-01,1.28646228760077152E-02,5.02740377666366853E-02,8.13559008099812520E-01,0.00000000000000000E+00,0.00000000000000000E+00
2.90000000000000036E+00,1.96545514778998162E-02,1.68231601248585718E-04,3.01867227192865573E-01,9.12339044710186827E-05,1.67774061996532794E-07,4.10731919047632940E-02,4.15086234276490829E-01,1.62503156245524738E+00,3.44728349610299911E-01,9.99938639774863303E-01,1.67864916407909530E-03,2.98969529712324877E-02,9.84143532893673941E-07,1.14928004168840052E-05,1.55445566549868130E-01,5.79619515855674061E-01,1.32363921692481446E-02,5.01819448305216020E-02,8.13965889315689695E-01,0.00000000000000000E+00,0.00000000000000000E+00
3.00000000000000000E+00,1.85974600746205802E-02,1.60009247707762389E-04,3.10953492745055293E-01,8.78107091006912252E-05,1.56705526522962855E-07,4.11822703516218636E-02,4.11182380672972969E-01,1.62498700979682265E+00,3.25670971981987800E-01,9.99938910265549374E-01,1.71765625405547362E-03,2.98467361666481419E-02,9.52617045099133127E-07,1.08604468576612992E-05,1.37637502779444115E-01,5.66860915673413568E-01,1.36035559575693847E-02,5.00918549893604390E-02,8.14372974023043650E-01,0.00000000000000000E+00,0.00000000000000000E+00
3.10000000000000009E+00,1.76451918368658658E-02,1.52508302261697995E-04,3.19890008257779968E-01,8.45493436187514877E-05,1.46630006983868108E-07,4.12911974863925321E-02,4.07279330221469948E-01,1.62454849285974601E+00,3.07197626014216463E-01,9.99939149786352455E-01,1.75660952259710764E-03,2.97965449237346594E-02,9.24090005858694715E-07,1.02914784883498792E-05,1.20751359539424924E-01,5.54144719829770871E-01,1.39661798854554507E-02,5.00037460349966253E-02,8.14780262323645199E-01,0.00000000000000000E+00,0.00000000000000000E+00
3.20000000000000018E+00,1.67861891708327056E-02,1.45635519505641356E-04,3.28688641229822553E-01,8.14533084030563692E-05,1.37450465564536470E-07,4.14000957357820651E-02,4.03377105904397237E-01,1.62371952319423363E+00,2.89302908954746918E-01,9.99939360536988842E-01,1.79550953413306702E-03,2.97463883875535330E-02,8.98100451020674245E-07,9.77634817029131150E-06,1.04874012778094203E-01,5.41472508935541552E-01,1.43243287316885647E-02,4.99175973898964287E-02,8.15187754319316560E-01,0.00000000000000000E+00,0.00000000000000000E+00
3.30000000000000027E+00,1.60101691055215024E-02,1.39312026493739979E-04,3.37359983752065606E-01,7.85238175992237364E-05,1.29080672164982210E-07,4.15090594011591346E-02,3.99475730285602848E-01,1.62250352167845824E+00,2.71981527541589108E-01,9.99939544365577637E-01,1.83435679193010167E-03,2.96962739372696044E-02,8.74274018658243091E-07,9.30731227938801985E-06,9.00924049438214525E-02,5.28845934871558399E-01,1.46780664322969535E-02,4.98333897518640975E-02,8.15595450111930687E-01,0.00000000000000000E+00,0.00000000000000000E+00
3.40000000000000036E+00,1.53079829945582755E-02,1.33471168282088212E-04,3.45913491830170616E-01,7.57601931128973159E-05,1.21443858605419949E-07,4.16181617946604632E-02,3.95575225700391442E-01,1.62090381035559927E+00,2.55228305977324987E-01,9.99939702843815947E-01,1.87315174962160761E-03,2.96462074957781277E-02,8.52306320288273190E-07,8.87811397810499339E-06,7.64887298250920417E-02,5.16266726735297832E-01,1.50274561004394343E-02,4.97511048378376300E-02,8.16003349803411604E-01,0.00000000000000000E+00,0.00000000000000000E+00
3.50000000000000000E+00,1.46714937334540326E-02,1.28056574242773160E-04,3.54357607476747605E-01,7.31602027239283128E-05,1.14471301951567295E-07,4.17274608781473613E-02,3.91675614370404546E-01,1.61892360275838443E+00,2.39038195420912231E-01,9.99939837294063216E-01,1.91189482417112363E-03,2.95961939140420328E-02,8.31945542113512113E-07,8.48359337753298657E-06,6.41340941210771093E-02,5.03736696575228238E-01,1.53725600435703717E-02,4.96707251967840047E-02,8.16411453495734074E-01,0.00000000000000000E+00,0.00000000000000000E+00
3.60000000000000009E+00,1.40934646914756614E-02,1.23020158538341470E-04,3.62699869171957567E-01,7.07203593697431927E-05,1.08101285978061041E-07,4.18370031892045038E-02,3.87776918515126079E-01,1.61656599207097340E+00,2.23406285641249341E-01,9.99939948836604198E-01,1.95058640359315806E-03,2.95462371999521689E-02,8.12981387998614489E-07,8.11945441719085523E-06,5.30808561083764285E-02,4.91257745536420043E-01,1.57134397790993398E-02,4.95922340680946261E-02,8.16819761290924373E-01,0.00000000000000000E+00,0.00000000000000000E+00
3.70000000000000018E+00,1.35674612047469237E-02,1.18320686805237620E-04,3.70947009884508294E-01,6.84361781927709433E-05,1.02278213040254238E-07,4.19468266716249288E-02,3.83879160444761280E-01,1.61383393678653531E+00,2.08327819177977908E-01,9.99940038420006228E-01,1.98922685285059762E-03,2.94963406949420442E-02,7.95236713702916545E-07,7.78208491275479858E-06,4.33546837784678923E-02,4.78831870248427549E-01,1.60501560485610088E-02,4.95156152760612422E-02,8.17228273291059293E-01,0.00000000000000000E+00,0.00000000000000000E+00
3.80000000000000027E+00,1.30877625444654980E-02,1.13922838262802282E-04,3.79105044707638117E-01,6.63023979422340456E-05,9.69518577861667653E-08,4.20569626930157592E-02,3.79982362644047500E-01,1.61073024317126379E+00,1.93798208697721353E-01,9.99940106840659260E-01,2.02781651814164026E-03,2.94465071972722196E-02,7.78561373127914372E-07,7.46843059768921151E-06,3.49478889804386711E-02,4.66461169570138612E-01,1.63827688307199779E-02,4.94408531493985351E-02,8.17636989598266695E-01,0.00000000000000000E+00,0.00000000000000000E+00
3.90000000000000036E+00,1.26492842807787408E-02,1.09795871140332967E-04,3.87179348172197735E-01,6.43131707313714969E-05,9.20768073203134492E-08,4.21674375570212992E-02,3.76086547844813490E-01,1.60725754385659547E+00,1.79813058224827321E-01,9.99940154771368439E-01,2.06635573022320804E-03,2.93967390652490126E-02,7.62827458914826605E-07,7.17588971756648214E-06,2.78158375601415299E-02,4.54147851665685831E-01,1.67113373537901982E-02,4.93679324587725302E-02,8.18045910314725844E-01,0.00000000000000000E+00,0.00000000000000000E+00
4.00000000000000000E+00,1.22475060148476683E-02,1.05913946799582231E-04,3.95174726267535859E-01,6.24622272990942051E-05,8.76117184326212838E-08,4.22782736690199973E-02,3.72191739090737661E-01,1.60341827066767673E+00,1.66368190133321353E-01,9.99940182756544615E-01,2.10484480757574827E-03,2.93470383028431835E-02,7.47925013332652566E-07,6.90222561411376046E-06,2.18779674255008064E-02,4.41894241675244714E-01,1.70359201072552043E-02,4.92968383672946972E-02,8.18455035542666742E-01,0.00000000000000000E+00,0.00000000000000000E+00
4.10000000000000053E+00,1.18784147605825834E-02,1.02251813290206062E-04,4.03095472830828638E-01,6.07430104158620520E-05,8.35197114900254940E-08,4.23894903628311837E-02,3.68297959793728424E-01,1.59921462190314623E+00,1.53459677704187919E-01,9.99940191293946068E-01,2.14328405749853075E-03,2.92974066245091508E-02,7.33760101081803553E-07,6.64550051204870387E-06,1.70237013018338795E-02,4.29702789591055789E-01,1.73565748523437785E-02,4.92275563934345822E-02,8.18864365384370907E-01,0.00000000000000000E+00,0.00000000000000000E+00
4.20000000000000018E+00,1.15384407103469762E-02,9.87915019226020424E-05,4.10945433675735050E-01,5.91487958776691378E-05,7.97664122661792434E-08,4.25011043907315492E-02,3.64405233801599282E-01,1.59464851995607915E+00,1.41083887320171353E-01,9.99940180702438952E-01,2.18167377911921822E-03,2.92478454660818829E-02,7.20251084260986967E-07,6.40406332646088711E-06,1.31224115950797776E-02,4.17576078956885755E-01,1.76733586331984868E-02,4.91600723786347060E-02,8.19273899942170702E-01,0.00000000000000000E+00,0.00000000000000000E+00
4.29999999999999982E+00,1.12244157675436967E-02,9.55145327209909576E-05,4.18728047889660115E-01,5.76727868750505368E-05,7.63211703410589745E-08,4.26131305518315795E-02,3.60513585441657569E-01,1.58972155876320898E+00,1.29237530844661497E-01,9.99940151277342593E-01,2.22001426353003392E-03,2.91983560660837721E-02,7.07327926638746767E-07,6.17646727827103292E-06,1.00347816109548349E-02,4.05516835803253706E-01,1.79863277870900388E-02,4.90943724616534419E-02,8.19683639318449786E-01,0.00000000000000000E+00,0.00000000000000000E+00
4.40000000000000036E+00,1.09335251265203666E-02,9.24053241696330929E-05,4.26446396214577306E-01,5.63081954134735194E-05,7.31559873164737463E-08,4.27255820360344235E-02,3.56623039570444778E-01,1.58443493727755347E+00,1.17917731942354789E-01,9.99940103218080023E-01,2.25830579582113116E-03,2.91489394866829669E-02,6.94929719791140343E-07,5.96144810208075232E-06,7.62349542941422303E-03,3.93527937960127028E-01,1.82955379558422844E-02,4.90304430575739178E-02,8.20093583615642885E-01,0.00000000000000000E+00,0.00000000000000000E+00
4.50000000000000000E+00,1.06632703002311115E-02,8.94501308985098243E-05,4.34103237936904918E-01,5.50483087338218859E-05,7.02454115844173965E-08,4.28384707000886433E-02,3.52733621624476412E-01,1.57878937126481134E+00,1.07122114178897124E-01,9.99940036646420394E-01,2.29654865577155320E-03,2.90995966380112672E-02,6.83003639728965905E-07,5.75789900662004290E-06,5.76142974668693731E-03,3.81612425902135066E-01,1.86010440927957682E-02,4.89682708414528323E-02,8.20503732936236130E-01,0.00000000000000000E+00,0.00000000000000000E+00
4.60000000000000053E+00,1.04114345989794119E-02,8.66367915950932147E-05,4.41701045366639011E-01,5.38865441649810390E-05,6.75663058804076259E-08,4.29518072984588772E-02,3.48845357668691514E-01,1.57278497876173873E+00,9.68489154267972302E-02,9.99939951606710564E-01,2.33474311867036240E-03,2.90503283005543005E-02,6.71503828634598739E-07,5.56484765517789495E-06,4.33671126560829234E-03,3.69773514077660181E-01,1.89029004709299307E-02,4.89078427340424518E-02,8.20914087382766833E-01,0.00000000000000000E+00,0.00000000000000000E+00
4.70000000000000018E+00,1.01760504667106448E-02,8.39545204497693030E-05,4.49242036520583643E-01,5.28164917631440784E-05,6.50976448630186268E-08,4.30656016736274058E-02,3.44958274438980306E-01,1.56642113567584351E+00,8.70971320012667582E-02,9.99939848063732151E-01,2.37288945603814734E-03,2.90011351444022375E-02,6.60390410207346047E-07,5.38143634364442273E-06,3.25463788432481162E-03,3.58014601477523675E-01,1.92011606960933098E-02,4.88491458878782675E-02,8.21324647057823487E-01,0.00000000000000000E+00,0.00000000000000000E+00
4.80000000000000071E+00,9.95537266191321400E-03,8.13937309616717366E-05,4.56728201933692513E-01,5.18319480133714846E-05,6.28203300137599133E-08,4.31798628954505465E-02,3.41072399390641989E-01,1.55969627730497695E+00,7.78667170212488102E-02,9.99939725897332377E-01,2.41098793617272383E-03,2.89520177429013967E-02,6.49628742234413579E-07,5.20690789124881593E-06,2.43757068343218542E-03,3.46339284507380718E-01,1.94958777141457096E-02,4.87921676772195556E-02,8.21735412064046433E-01,0.00000000000000000E+00,0.00000000000000000E+00
4.90000000000000036E+00,9.74785452394548099E-03,7.89457757621827877E-05,4.64161328407351470E-01,5.09269431634236768E-05,6.07168644736294409E-08,4.32945994064778822E-02,3.37187760742523379E-01,1.55260763874911589E+00,6.91588398499019680E-02,9.99939584895755740E-01,2.44903882471142996E-03,2.89029765921785982E-02,6.39188685884414300E-07,5.04058572861554008E-06,1.82335432315615517E-03,3.34751369950429367E-01,1.97871038191064254E-02,4.87368956891838928E-02,8.22146382504126638E-01,0.00000000000000000E+00,0.00000000000000000E+00
5.00000000000000000E+00,9.55212548578316181E-03,7.66030762867926364E-05,4.71543021535362372E-01,5.00957591428651816E-05,5.87715687927571999E-08,4.34098190905934586E-02,3.33304387525416801E-01,1.54515090577011560E+00,6.09762350589892269E-02,9.99939424739818228E-01,2.48704238500521962E-03,2.88540121134674213E-02,6.29044083016348756E-07,4.88187122307708944E-06,1.36321175676401931E-03,3.23254888675229612E-01,2.00748906623984535E-02,4.86833177154849875E-02,8.22557558480806805E-01,0.00000000000000000E+00,0.00000000000000000E+00
